fileTitle,fileUrl,sheetName,viewConfig,fileLocal,viewConfig.local,originUrl
Plánované starty SpaceX,https://docs.google.com/spreadsheets/d/1cq0G8ulZLLZgdvwZ_f6Io1a3hupneDqQnaBPSzR39lA/edit#gid=381039445,elonX,,elonX.csv,elonX-config2.csv,https://www.elonx.cz/planovane-starty/
SpaceFund Launch Database,https://docs.google.com/spreadsheets/d/1lELOq9fAHCGci4hqJSU8rLiEgPO5f57JPDlzn4nwtTk/edit#gid=0,Launch Database,,LaunchDatabase.csv,,
Planetary Fact Sheet - Metric,https://docs.google.com/spreadsheets/d/17enEpgqTms0R2Yw2tg8l1BgTmoQEVErHIlxbQWrKc3s/edit#gid=0,Sheet1,,Sheet1.csv,,
Neptune/Earth Comparison,https://docs.google.com/spreadsheets/d/1Gr-Qs8H-MJaVyEttN41kJxkqiLKayt9qxXSDzs6-qk8/edit#gid=0,Neptune,,Neptune.csv,,
