fileTitle,fileUrl,sheetName,viewConfig,originUrl
Plánované starty SpaceX DEMO,https://docs.google.com/spreadsheets/d/1Nzm7o7yLhe1vFWVXABloQqBg4mV3q2QRok0w21h1Ni8/edit#gid=91707858,elonX,elonX-view,https://www.elonx.cz/planovane-starty/
SpaceFund Launch Database,https://docs.google.com/spreadsheets/d/1lELOq9fAHCGci4hqJSU8rLiEgPO5f57JPDlzn4nwtTk/edit#gid=0,LaunchDatabase,,
Planetary Fact Sheet - Metric,https://docs.google.com/spreadsheets/d/17enEpgqTms0R2Yw2tg8l1BgTmoQEVErHIlxbQWrKc3s/edit#gid=0,Sheet1,,
Neptune/Earth Comparison,https://docs.google.com/spreadsheets/d/1Gr-Qs8H-MJaVyEttN41kJxkqiLKayt9qxXSDzs6-qk8/edit#gid=0,Neptune,,
